Frame result index,Frame Number,Person UUID,Person UUID Confidence,Headpose Pitch (deg),Headpose Yaw (deg),Headpose Roll (deg),Headpose Pitch Calib (deg),Headpose Yaw Calib (deg),Headpose (X:Y:Z) (mm),Headpose Confidence,Face Rect (X:Y Width X Height),Face Rect detect algorithm,Face Rect Confidence,EyeState Right,EyeState Left,EyeState Right Confidence,EyeState Left Confidence,Eyewear,Eyewear Confidence,EyeGaze Horizontal Left (deg),EyeGaze Horizontal Right (deg),EyeGaze Vertical Left (deg),EyeGaze Vertical Right (deg),Iris RadiusL (mm),Iris RadiusR (mm),Eye Aperture Left (mm),Eye Aperture Right (mm),Eye Aperture Left Confidence,Eye Aperture Right Confidence,Eyelid Closed Left (%),Eyelid Closed Right (%),Eye Center Left (X:Y) (mm),Eye Center Right (X:Y) (mm),Drowsiness Level (0-10),Age,Gender,Ethnic,Emotion,Heart rate,Breath rate,Illumination Variance,Illumination Tl Average,Illumination Bl Average,Illumination Tr Average,Illumination Br Average,Frame Time,Time From Start
0,1,,0,-0.433744,1.45454,1.58339,0,0,-26.7386:-44.2372:724.894,0.19,201:142 184x184,64,0.840228,opened,opened,0.999998,1,unknown,0,4.23254,4.23254,6.95887,6.95887,5.65217,5.21739,4.89334,5.6521,0.189978,0.189823,0.555151,0.486172,2:-23,-52:-23,9999,n/a,N/A,Unknown,N/A,9999,9999,9999,9999,9999,9999,9999,2020-06-28T15:13:09.458,0
0,2,,0,-0.777702,1.44263,1.75932,0,0,-27.0515:-44.9526:726.875,0.99,201:142 183x183,512,0.839387,opened,opened,0.999998,1,unknown,0,3.36879,3.36879,7.12223,7.12223,5.66762,5.66762,4.84419,6.17316,0.989997,0.98998,0.559619,0.438804,3:-23,-51:-24,9999,n/a,N/A,Unknown,N/A,9999,9999,9999,9999,9999,9999,9999,2020-06-28T15:13:09.498,40
0,3,,0,-0.793767,1.44924,1.95464,0,0,-26.9187:-44.9044:727.535,0.99,201:143 183x183,512,0.838548,opened,opened,0.999995,1,none,0.999931,3.1877,3.1877,7.39541,7.39541,5.67276,5.67276,4.97345,5.77219,0.989875,0.989154,0.547868,0.475256,3:-23,-51:-24,9999,n/a,N/A,Unknown,N/A,9999,9999,9999,9999,9999,9999,9999,2020-06-28T15:13:09.538,80
0,4,,0,-0.6048,1.55169,1.65353,0,0,-26.7468:-44.9024:727.865,0.99,202:143 183x183,512,0.837709,opened,opened,0.999999,1,none,0.999931,3.3715,3.3715,7.59572,7.59572,5.67534,5.23877,5.0922,5.52412,0.989528,0.989966,0.537073,0.497808,3:-23,-51:-23,9999,n/a,N/A,Unknown,N/A,9999,9999,9999,9999,9999,9999,9999,2020-06-28T15:13:09.578,120
0,5,,0,-1.40137,1.51555,1.55029,0,0,-26.7248:-45.3088:728.063,0.989068,202:142 183x183,512,0.836872,opened,opened,0.999994,1,none,0.999941,3.61906,3.61906,7.51468,7.51468,5.67688,5.67688,5.13107,5.90263,0.988262,0.988992,0.533539,0.463397,3:-23,-52:-23,9999,n/a,N/A,Unknown,N/A,9999,9999,9999,9999,9999,9999,9999,2020-06-28T15:13:09.618,160
0,6,,0,-1.14819,1.18616,1.583,0,0,-25.9483:-44.6388:728.195,0.989063,204:144 183x183,512,0.828503,opened,opened,0.999998,1,none,0.999941,3.78539,3.78539,7.23284,7.23284,5.67791,5.67791,5.30217,5.90315,0.989063,0.988275,0.517985,0.46335,4:-23,-50:-22,9999,n/a,N/A,Unknown,N/A,9999,9999,9999,9999,9999,9999,9999,2020-06-28T15:13:09.658,200
0,7,,0,0.00804949,1.10877,1.36054,0,0,-25.1617:-44.0568:728.29,0.988499,205:144 183x183,512,0.827675,opened,opened,0.998564,0.998995,none,0.999938,3.03878,3.03878,7.78596,7.78596,5.24183,5.67865,4.64827,5.03376,0.969041,0.987341,0.57743,0.542386,6:-21,-48:-20,9999,n/a,N/A,Unknown,N/A,9999,9999,9999,9999,9999,9999,9999,2020-06-28T15:13:09.698,240
0,8,,0,0.00410035,1.52907,1.38495,0,0,-24.5903:-43.588:728.36,0.989208,205:144 183x183,512,0.826847,closed,closed,0.998815,0.996586,none,0.999938,9999,9999,9999,9999,9999,9999,0,0,0.988601,0.987691,1,1,9999:9999,9999:9999,9999,n/a,N/A,Unknown,N/A,9999,9999,9999,9999,9999,9999,9999,2020-06-28T15:13:09.738,280
0,9,,0,0.197941,1.20348,1.63203,0,0,-24.1189:-42.6562:728.415,0.987839,204:144 183x183,512,0.82602,closed,closed,0.999002,0.999686,none,0.999891,9999,9999,9999,9999,9999,9999,0,0,0.987787,0.987745,1,1,9999:9999,9999:9999,9999,n/a,N/A,Unknown,N/A,9999,9999,9999,9999,9999,9999,9999,2020-06-28T15:13:09.778,320
0,10,,0,0.319004,0.863616,1.73035,0,0,-24.1952:-42.6138:728.459,0.98998,204:144 183x183,512,0.825194,closed,closed,0.996715,0.997982,none,0.999891,9999,9999,9999,9999,9999,9999,0,0,0.989737,0.730128,1,1,9999:9999,9999:9999,9999,n/a,N/A,Unknown,N/A,9999,9999,9999,9999,9999,9999,9999,2020-06-28T15:13:09.818,360
