Frame Number,Headpose Pitch (deg),Headpose Yaw (deg),Headpose Roll (deg)
1,-19.9999,-0.00999848,-0.000174538
2,-19.9999,-0.077138,-0.00134656
3,-19.9999,-0.269679,-0.00470768
4,-19.9998,-0.574305,-0.0100257
5,-19.9997,-0.9777,-0.0170689
6,-19.9995,-1.46655,-0.0256063
7,-19.9993,-2.02753,-0.0354083
8,-19.9988,-2.64733,-0.0462461
9,-19.9982,-3.31264,-0.0578916
10,-19.9974,-4.01014,-0.0701174
11,-19.9965,-4.7265,-0.0826957
12,-19.9953,-5.44842,-0.095398
13,-19.9941,-6.16258,-0.107994
14,-19.9927,-6.85566,-0.12025
15,-19.9912,-7.51434,-0.131931
16,-19.9897,-8.12531,-0.142798
17,-19.9883,-8.67526,-0.152608
18,-19.987,-9.15087,-0.161114
19,-19.9859,-9.53881,-0.16807
20,-19.985,-9.82578,-0.173225
21,-19.9845,-9.99846,-0.176332
22,-19.9841,-10.1048,-0.178247
23,-19.9838,-10.202,-0.179997
24,-19.9835,-10.2902,-0.181587
25,-19.9833,-10.3697,-0.183021
26,-19.983,-10.4407,-0.184303
27,-19.9828,-10.5036,-0.185439
28,-19.9827,-10.5587,-0.186432
29,-19.9825,-10.6061,-0.187289
30,-19.9824,-10.6462,-0.188014
31,-19.9823,-10.6792,-0.18861
32,-19.9822,-10.7054,-0.189085
33,-19.9821,-10.7251,-0.189441
34,-19.982,-10.7386,-0.189684
35,-19.982,-10.7461,-0.18982
36,-19.982,-10.7478,-0.189852
37,-19.982,-10.7442,-0.189785
38,-19.9821,-10.7353,-0.189626
39,-19.9821,-10.7216,-0.189378
40,-19.9822,-10.7033,-0.189046
41,-19.9822,-10.6806,-0.188636
42,-19.9823,-10.6539,-0.188153
43,-19.9824,-10.6233,-0.1876
44,-19.9825,-10.5892,-0.186984
45,-19.9827,-10.5518,-0.186309
46,-19.9828,-10.5115,-0.185581
47,-19.9829,-10.4684,-0.184803
48,-19.9831,-10.4229,-0.183982
49,-19.9833,-10.3753,-0.183122
50,-19.9834,-10.3257,-0.182227
51,-19.9836,-10.2745,-0.181304
52,-19.9837,-10.2219,-0.180356
53,-19.9839,-10.1682,-0.179389
54,-19.9841,-10.1138,-0.178408
55,-19.9843,-10.0587,-0.177417
56,-19.9844,-10.0035,-0.176422
57,-19.9846,-9.94817,-0.175427
58,-19.9848,-9.89316,-0.174437
59,-19.9849,-9.83868,-0.173457
60,-19.9851,-9.78503,-0.172493
61,-19.9853,-9.73246,-0.171548
62,-19.9854,-9.68125,-0.170628
63,-19.9856,-9.63166,-0.169737
64,-19.9857,-9.58399,-0.168881
65,-19.9859,-9.53848,-0.168064
66,-19.986,-9.49542,-0.167291
67,-19.9861,-9.45508,-0.166567
68,-19.9862,-9.41772,-0.165897
69,-19.9863,-9.38363,-0.165286
70,-19.9864,-9.35307,-0.164738
71,-19.9865,-9.32631,-0.164258
72,-19.9865,-9.30363,-0.163851
73,-19.9866,-9.2853,-0.163523
74,-19.9866,-9.27158,-0.163277
75,-19.9867,-9.26276,-0.163119
76,-19.9867,-9.2591,-0.163053
77,-19.9867,-9.26087,-0.163085
78,-19.9866,-9.26835,-0.163219
79,-19.9866,-9.28181,-0.16346
80,-19.9866,-9.30151,-0.163814
81,-19.9865,-9.32774,-0.164284
82,-19.9864,-9.36076,-0.164876
83,-19.9863,-9.40084,-0.165595
84,-19.9861,-9.44827,-0.166445
85,-19.986,-9.5033,-0.167433
86,-19.9858,-9.56621,-0.168562
87,-19.9856,-9.63727,-0.169838
88,-19.9853,-9.71675,-0.171266
89,-19.9851,-9.80493,-0.17285
90,-19.9848,-9.90207,-0.174597
91,-19.9844,-10.0085,-0.176512
92,-19.9839,-10.1759,-0.179527
93,-19.983,-10.4481,-0.184436
94,-19.9818,-10.8136,-0.191041
95,-19.9802,-11.2606,-0.199141
96,-19.9784,-11.7775,-0.208539
97,-19.9762,-12.3526,-0.219038
98,-19.9737,-12.9743,-0.230439
99,-19.9709,-13.631,-0.242544
100,-19.9678,-14.311,-0.255149
101,-19.9646,-15.0027,-0.268049
102,-19.9611,-15.6943,-0.281032
103,-19.9576,-16.3743,-0.293883
104,-19.954,-17.031,-0.306379
105,-19.9505,-17.6527,-0.318291
106,-19.947,-18.2279,-0.329384
107,-19.9439,-18.7447,-0.339416
108,-19.941,-19.1917,-0.348141
109,-19.9386,-19.5572,-0.355309
110,-19.9368,-19.8294,-0.360671
111,-19.9357,-19.9968,-0.363976
112,-19.935,-20.1032,-0.366081
113,-19.9343,-20.2003,-0.368005
114,-19.9337,-20.2885,-0.369754
115,-19.9332,-20.368,-0.371332
116,-19.9327,-20.4391,-0.372744
117,-19.9322,-20.502,-0.373995
118,-19.9319,-20.557,-0.37509
119,-19.9315,-20.6044,-0.376035
120,-19.9312,-20.6445,-0.376834
121,-19.931,-20.6775,-0.377492
122,-19.9308,-20.7038,-0.378015
123,-19.9307,-20.7235,-0.378408
124,-19.9306,-20.7369,-0.378677
125,-19.9305,-20.7444,-0.378826
126,-19.9305,-20.7462,-0.378862
127,-19.9306,-20.7425,-0.378789
128,-19.9306,-20.7337,-0.378612
129,-19.9307,-20.72,-0.378339
130,-19.9308,-20.7016,-0.377973
131,-19.931,-20.679,-0.377521
132,-19.9312,-20.6522,-0.376987
133,-19.9314,-20.6216,-0.376378
134,-19.9316,-20.5875,-0.375699
135,-19.9319,-20.5502,-0.374955
136,-19.9322,-20.5099,-0.374152
137,-19.9325,-20.4668,-0.373295
138,-19.9328,-20.4213,-0.37239
139,-19.9331,-20.3736,-0.371443
140,-19.9335,-20.324,-0.370458
141,-19.9338,-20.2728,-0.369442
142,-19.9342,-20.2203,-0.368399
143,-19.9346,-20.1666,-0.367336
144,-19.9349,-20.1121,-0.366257
145,-19.9353,-20.0571,-0.365169
146,-19.9357,-20.0018,-0.364075
147,-19.936,-19.9465,-0.362983
148,-19.9364,-19.8915,-0.361896
149,-19.9368,-19.8371,-0.360821
150,-19.9371,-19.7834,-0.359763
151,-19.9375,-19.7308,-0.358727
152,-19.9378,-19.6796,-0.357718
153,-19.9382,-19.63,-0.356742
154,-19.9385,-19.5824,-0.355804
155,-19.9388,-19.5368,-0.35491
156,-19.9391,-19.4938,-0.354064
157,-19.9393,-19.4535,-0.353271
158,-19.9396,-19.4161,-0.352538
159,-19.9398,-19.382,-0.351869
160,-19.94,-19.3514,-0.35127
161,-19.9402,-19.3247,-0.350745
162,-19.9403,-19.302,-0.3503
163,-19.9404,-19.2837,-0.349941
164,-19.9405,-19.27,-0.349672
165,-19.9406,-19.2611,-0.3495
166,-19.9406,-19.2575,-0.349428
167,-19.9406,-19.2592,-0.349463
168,-19.9405,-19.2667,-0.349609
169,-19.9404,-19.2802,-0.349873
170,-19.9403,-19.2999,-0.350259
171,-19.9402,-19.3261,-0.350773
172,-19.9399,-19.3591,-0.35142
173,-19.9397,-19.3992,-0.352207
174,-19.9394,-19.4466,-0.353137
175,-19.939,-19.5017,-0.354218
176,-19.9386,-19.5646,-0.355455
177,-19.9381,-19.6356,-0.356852
178,-19.9376,-19.7151,-0.358417
179,-19.937,-19.8033,-0.360155
180,-19.9364,-19.9004,-0.362072
181,-19.9356,-20.0068,-0.364174
182,-19.9345,-20.1742,-0.367487
183,-19.9326,-20.4465,-0.372891
184,-19.9301,-20.8119,-0.380174
185,-19.9268,-21.2589,-0.389132
186,-19.923,-21.7758,-0.399557
187,-19.9186,-22.3509,-0.411247
188,-19.9137,-22.9726,-0.423993
189,-19.9083,-23.6293,-0.437583
190,-19.9026,-24.3093,-0.4518
191,-19.8965,-25.0009,-0.466418
192,-19.8901,-25.6926,-0.481201
193,-19.8837,-26.3725,-0.495903
194,-19.8772,-27.0292,-0.510267
195,-19.8709,-27.6509,-0.524022
196,-19.8649,-28.226,-0.536887
197,-19.8593,-28.7429,-0.548566
198,-19.8544,-29.1899,-0.558761
199,-19.8503,-29.5553,-0.567161
200,-19.8471,-29.8276,-0.573459
201,-19.8452,-29.995,-0.577348
202,-19.844,-30.1013,-0.579827
203,-19.8428,-30.1985,-0.582095
204,-19.8418,-30.2866,-0.584157
205,-19.8408,-30.3661,-0.586019
206,-19.84,-30.4372,-0.587687
207,-19.8393,-30.5001,-0.589165
208,-19.8386,-30.5551,-0.59046
209,-19.838,-30.6025,-0.591577
210,-19.8375,-30.6426,-0.592522
211,-19.8371,-30.6756,-0.593301
212,-19.8368,-30.7019,-0.59392
213,-19.8366,-30.7216,-0.594385
214,-19.8364,-30.735,-0.594703
215,-19.8363,-30.7425,-0.59488
216,-19.8363,-30.7443,-0.594922
217,-19.8364,-30.7406,-0.594835
218,-19.8365,-30.7318,-0.594627
219,-19.8366,-30.7181,-0.594303
220,-19.8369,-30.6998,-0.59387
221,-19.8371,-30.6771,-0.593334
222,-19.8375,-30.6503,-0.592703
223,-19.8378,-30.6198,-0.591983
224,-19.8382,-30.5857,-0.591179
225,-19.8387,-30.5483,-0.5903
226,-19.8392,-30.508,-0.589351
227,-19.8397,-30.4649,-0.588338
228,-19.8402,-30.4194,-0.58727
229,-19.8408,-30.3717,-0.586151
230,-19.8414,-30.3222,-0.584989
231,-19.842,-30.271,-0.58379
232,-19.8426,-30.2184,-0.58256
233,-19.8432,-30.1647,-0.581306
234,-19.8439,-30.1103,-0.580035
235,-19.8445,-30.0552,-0.578752
236,-19.8451,-30,-0.577464
237,-19.8458,-29.9447,-0.576178
238,-19.8464,-29.8897,-0.5749
239,-19.8471,-29.8352,-0.573636
240,-19.8477,-29.7815,-0.572392
241,-19.8483,-29.729,-0.571174
242,-19.8489,-29.6778,-0.569989
243,-19.8494,-29.6282,-0.568843
244,-19.85,-29.5805,-0.567742
245,-19.8505,-29.535,-0.566692
246,-19.851,-29.4919,-0.5657
247,-19.8514,-29.4516,-0.564771
248,-19.8519,-29.4143,-0.563911
249,-19.8522,-29.3802,-0.563127
250,-19.8526,-29.3496,-0.562424
251,-19.8529,-29.3228,-0.56181
252,-19.8531,-29.3002,-0.561289
253,-19.8534,-29.2818,-0.560868
254,-19.8535,-29.2681,-0.560554
255,-19.8536,-29.2593,-0.560351
256,-19.8536,-29.2556,-0.560267
257,-19.8536,-29.2574,-0.560308
258,-19.8535,-29.2649,-0.560479
259,-19.8534,-29.2783,-0.560788
